"Year","Month","SOI"
1953,"Sep",-10.6291567180579
1953,"Oct",-0.0493232330300213
1953,"Nov",-1.54546130162001
1953,"Dec",-3.85543271521227
1954,"Jan",6.25583005602633
1954,"Feb",-3.7978889433428
1954,"Mar",-0.772730650810299
1954,"Apr",4.13493103571734
1954,"May",2.77032158854214
1954,"Jun",-0.86315657803253
1954,"Jul",3.16490745278599
1954,"Aug",7.99036375092996
1954,"Sep",3.67458086076717
1954,"Oct",1.43037375788209
1954,"Nov",2.89362967111856
1954,"Dec",12.4212341848299
1955,"Jan",-5.58174587127671
1955,"Feb",15.9314042688286
1955,"Mar",2.67989566132001
1955,"Apr",-1.7838569279339
1955,"May",8.19587722189009
1955,"Jun",9.98795468866225
1955,"Jul",14.5092510497846
1955,"Aug",11.4429900630597
1955,"Sep",11.5662981456361
1955,"Oct",12.2814850245774
1955,"Nov",11.2785792862913
1955,"Dec",8.96860787269958
1956,"Jan",11.6813856893737
1956,"Feb",12.9720102870027
1956,"Mar",8.59868362497181
1956,"Apr",6.60109268723939
1956,"May",11.1552712037154
1956,"Jun",7.52179303714076
1956,"Jul",9.57692774674163
1956,"Aug",8.48359608123381
1956,"Sep",0.221954548636864
1956,"Oct",14.7476466760984
1956,"Nov",1.41393268020533
1956,"Dec",9.9550725333084
1957,"Jan",5.76259772572192
1957,"Feb",-2.31819195243013
1957,"Mar",-0.772730650809738
1957,"Apr",0.682304723587589
1957,"May",-7.58755734784767
1957,"Jun",-1.35638890833694
1957,"Jul",0.698745801264497
1957,"Aug",-7.29983848850338
1957,"Sep",-8.65622739684027
1957,"Oct",-1.03578789363884
1957,"Nov",-8.94394625618448
1957,"Dec",-3.36220038490786
1958,"Jan",-17.4193217985803
1958,"Feb",-7.25051525547311
1958,"Mar",-1.26596298111471
1958,"Apr",0.682304723587589
1958,"May",-5.12139569632618
1958,"Jun",0.123308082575729
1958,"Jul",1.68521046187332
1958,"Aug",6.01743442971233
1958,"Sep",-2.73743943318904
1958,"Oct",-1.52902022394325
1958,"Nov",-3.51839062283765
1958,"Dec",-6.3215943667332
1959,"Jan",-9.03437218340702
1959,"Feb",-14.6490002100381
1959,"Mar",7.61221896436299
1959,"Apr",2.16200171450082
1959,"May",1.78385692793388
1959,"Jun",-3.82255055985787
1959,"Jul",-3.74034517147407
1959,"Aug",-3.84721217637363
1959,"Sep",0.221954548636864
1959,"Oct",3.40330307909973
1959,"Nov",8.31918530446539
1959,"Dec",7.98214321209132
1960,"Jan",0.337042092374529
1960,"Feb",-2.31819195243013
1960,"Mar",5.1460573128415
1960,"Apr",4.62816336602175
1960,"May",3.26355391884655
1960,"Jun",-1.35638890833694
1960,"Jul",3.6581397830904
1960,"Aug",5.03096976910407
1960,"Sep",5.64751018198425
1960,"Oct",-0.542555563334992
1960,"Nov",5.35979132264005
1960,"Dec",6.50244622117809
1961,"Jan",-2.62235188945137
1961,"Feb",6.55998999304701
1961,"Mar",-19.022326872069
1961,"Apr",5.61462802663057
1961,"May",0.797392267325061
1961,"Jun",-1.84962123864079
1961,"Jul",1.68521046187276
1961,"Aug",0.0986464660605267
1961,"Sep",0.715186878941274
1961,"Oct",-3.99518187546474
1961,"Nov",5.35979132264005
1961,"Dec",13.4076988454382
1962,"Jan",17.600173653025
1962,"Feb",5.57352533243819
1962,"Mar",-1.26596298111415
1962,"Apr",0.682304723587589
1962,"May",7.70264489158512
1962,"Jun",3.08270206440163
1962,"Jul",-0.287718859343763
1962,"Aug",3.55127277819084
1962,"Sep",4.16781319107102
1962,"Oct",8.33562638214271
1962,"Nov",3.88009433172682
1962,"Dec",0.583658257526857
1963,"Jan",9.70845636815664
1963,"Feb",3.10736368091726
1963,"Mar",6.62575430375417
1963,"Apr",3.64169870541349
1963,"May",1.78385692793388
1963,"Jun",-5.79547988107551
1963,"Jul",-0.780951189648733
1963,"Aug",-1.87428285515599
1963,"Sep",-4.2171364241017
1963,"Oct",-10.4072021694209
1963,"Nov",-6.9710169349674
1963,"Dec",-11.2539176697767
1964,"Jan",-4.10204888036404
1964,"Feb",-0.345262631213049
1964,"Mar",7.61221896436299
1964,"Apr",8.08078967815206
1964,"May",1.78385692793388
1964,"Jun",4.56239905531486
1964,"Jul",5.13783677400306
1964,"Aug",10.9497577327553
1964,"Sep",11.5662981456361
1964,"Oct",10.3085557033598
1964,"Nov",1.9071650105103
1964,"Dec",-2.86896805460345
1965,"Jan",-4.10204888036404
1965,"Feb",1.62766669000403
1965,"Mar",2.67989566132001
1965,"Apr",-7.70264489158514
1965,"May",-0.189072393283198
1965,"Jun",-7.76840920229259
1965,"Jul",-17.0576180896903
1965,"Aug",-8.77953547941661
1965,"Sep",-11.6156213786662
1965,"Oct",-8.92750517850772
1965,"Nov",-13.383037228923
1965,"Dec",1.57012291813512
1966,"Jan",-12.4869984955373
1966,"Feb",-4.29112127364777
1966,"Mar",-12.6103065781133
1966,"Apr",-4.25001857945539
1966,"May",-5.61462802663059
1966,"Jun",0.6165404128807
1966,"Jul",-0.780951189648173
1966,"Aug",3.05804044788643
1966,"Sep",-1.75097477258022
1966,"Oct",-2.02225255424766
1966,"Nov",-0.0657643107073398
1966,"Dec",-3.85543271521227
1967,"Jan",15.1340120015035
1967,"Feb",13.4652426173071
1967,"Mar",7.11898663405858
1967,"Apr",-1.7838569279339
1967,"May",-2.16200171450084
1967,"Jun",4.06916672501045
1967,"Jul",1.19197813156891
1967,"Aug",4.53773743879966
1967,"Sep",4.16781319107158
1967,"Oct",-0.0493232330300213
1967,"Nov",-3.02515829253268
1967,"Dec",-5.33512970612438
1968,"Jan",4.28290073480869
1968,"Feb",10.0126163051773
1968,"Mar",-2.74565997202738
1968,"Apr",-1.7838569279339
1968,"May",9.18234188249835
1968,"Jun",7.5217930371402
1968,"Jul",5.63106910430691
1968,"Aug",0.0986464660605267
1968,"Sep",-2.24420710288463
1968,"Oct",-1.52902022394325
1968,"Nov",-2.53192596222827
1968,"Dec",2.06335524843953
1969,"Jan",-13.96669548645
1969,"Feb",-7.25051525547311
1969,"Mar",1.69343100071175
1969,"Apr",-5.23648324006365
1969,"May",-4.13493103571792
1969,"Jun",-0.369924247728681
1969,"Jul",-5.2200421623873
1969,"Aug",-3.35397984606922
1969,"Sep",-8.65622739684027
1969,"Oct",-9.42073750881213
1969,"Nov",-0.0657643107073398
1969,"Dec",3.54305223935276
1970,"Jan",-10.5140691743202
1970,"Feb",-11.1963738979078
1970,"Mar",1.69343100071119
1970,"Apr",-2.77032158854272
1970,"May",1.29062459762947
1970,"Jun",6.04209604622753
1970,"Jul",-4.23357750177848
1970,"Aug",3.05804044788643
1970,"Sep",10.5798334850272
1970,"Oct",8.33562638214215
1970,"Nov",14.7312055984216
1970,"Dec",16.860325157569
1971,"Jan",2.80320374389602
1971,"Feb",16.424636599133
1971,"Mar",17.4768655704489
1971,"Apr",13.5063453114994
1971,"May",5.7297155703686
1971,"Jun",1.60300507348896
1971,"Jul",1.19197813156891
1971,"Aug",11.4429900630597
1971,"Sep",13.0459951365487
1971,"Oct",14.2544143457939
1971,"Nov",5.35979132264005
1971,"Dec",2.06335524844009
1972,"Jan",3.78966840450484
1972,"Feb",8.53291931426409
1972,"Mar",2.1866633310156
1972,"Apr",-3.26355391884713
1972,"May",-10.0537189993692
1972,"Jun",-7.27517687198818
1972,"Jul",-14.0982241078644
1972,"Aug",-6.80660615819897
1972,"Sep",-12.1088537089706
1972,"Oct",-8.92750517850772
1972,"Nov",-2.53192596222827
1972,"Dec",-11.7471500000806
1973,"Jan",-3.11558421975522
1973,"Feb",-14.1557678797332
1973,"Mar",0.706966340102931
1973,"Apr",-1.29062459762949
1973,"May",1.78385692793388
1973,"Jun",7.52179303714076
1973,"Jul",4.64460444369866
1973,"Aug",9.47006074184263
1973,"Sep",11.0730658153316
1973,"Oct",7.8423940518383
1973,"Nov",23.6093875438993
1973,"Dec",16.3670928272641
1974,"Jan",21.5460322954591
1974,"Feb",16.9178689294374
1974,"Mar",18.4633302310578
1974,"Apr",6.60109268723939
1974,"May",6.71618023097686
1974,"Jun",1.60300507348896
1974,"Jul",9.08369541643722
1974,"Aug",5.03096976910351
1974,"Sep",10.0866011547228
1974,"Oct",6.85592939122948
1974,"Nov",-1.0522289713156
1974,"Dec",-0.896038733386373
1975,"Jan",-5.08851354097286
1975,"Feb",5.57352533243875
1975,"Mar",10.5716129461889
1975,"Apr",8.57402200845647
1975,"May",3.75678624915096
1975,"Jun",9.49472235835784
1975,"Jul",15.9889480406978
1975,"Aug",15.8820810357988
1975,"Sep",18.4715507698961
1975,"Oct",14.2544143457945
1975,"Nov",10.292114625683
1975,"Dec",18.8332544787855
1976,"Jan",12.1746180196776
1976,"Feb",13.4652426173076
1976,"Mar",12.0513099371016
1976,"Apr",0.682304723587589
1976,"May",1.29062459762947
1976,"Jun",0.12330808257629
1976,"Jul",-9.65913313512587
